transaction_id,customer_id,product_id,quantity,timestamp
1,82,290,2,2024-12-06 18:09:20.384997
2,124,467,2,2024-12-06 18:09:20.384997
3,812,65,2,2024-12-06 18:09:20.384997
4,308,459,3,2024-12-06 18:09:20.384997
5,629,490,2,2024-12-06 18:09:20.384997
6,751,160,1,2024-12-06 18:09:20.384997
7,741,302,2,2024-12-06 18:09:20.384997
8,907,239,3,2024-12-06 18:09:20.384997
9,727,258,1,2024-12-06 18:09:20.384997
10,742,152,1,2024-12-06 18:09:20.384997
11,773,99,4,2024-12-06 18:09:20.384997
12,200,19,2,2024-12-06 18:09:20.384997
13,901,223,5,2024-12-06 18:09:20.384997
14,378,397,5,2024-12-06 18:09:20.384997
15,367,417,1,2024-12-06 18:09:20.384997
16,739,76,2,2024-12-06 18:09:20.384997
17,939,215,2,2024-12-06 18:09:20.384997
18,129,412,1,2024-12-06 18:09:20.384997
19,399,252,4,2024-12-06 18:09:20.384997
20,474,297,3,2024-12-06 18:09:20.384997
21,38,472,1,2024-12-06 18:09:20.384997
22,148,16,2,2024-12-06 18:09:20.384997
23,825,395,2,2024-12-06 18:09:20.384997
24,223,33,1,2024-12-06 18:09:20.384997
25,197,476,1,2024-12-06 18:09:20.384997
26,78,427,2,2024-12-06 18:09:20.384997
27,291,255,2,2024-12-06 18:09:20.384997
28,607,203,2,2024-12-06 18:09:20.384997
29,124,234,1,2024-12-06 18:09:20.384997
30,676,96,2,2024-12-06 18:09:20.384997
31,244,231,1,2024-12-06 18:09:20.384997
32,849,280,2,2024-12-06 18:09:20.384997
33,574,492,1,2024-12-06 18:09:20.384997
34,368,88,1,2024-12-06 18:09:20.384997
35,720,391,2,2024-12-06 18:09:20.384997
36,882,383,1,2024-12-06 18:09:20.384997
37,17,25,3,2024-12-06 18:09:20.384997
38,320,469,3,2024-12-06 18:09:20.384997
39,320,393,1,2024-12-06 18:09:20.384997
40,747,192,2,2024-12-06 18:09:20.384997
41,390,475,1,2024-12-06 18:09:20.384997
42,867,440,2,2024-12-06 18:09:20.384997
43,270,466,1,2024-12-06 18:09:20.384997
44,237,339,2,2024-12-06 18:09:20.384997
45,71,465,1,2024-12-06 18:09:20.384997
46,119,93,1,2024-12-07 18:09:20.384997
47,424,253,3,2024-12-07 18:09:20.384997
48,490,342,2,2024-12-07 18:09:20.384997
49,288,305,1,2024-12-07 18:09:20.384997
50,929,205,3,2024-12-07 18:09:20.384997
51,974,161,1,2024-12-07 18:09:20.384997
52,620,286,2,2024-12-07 18:09:20.384997
53,51,411,1,2024-12-07 18:09:20.384997
54,927,379,4,2024-12-07 18:09:20.384997
55,555,321,4,2024-12-07 18:09:20.384997
56,562,35,2,2024-12-07 18:09:20.384997
57,965,20,1,2024-12-07 18:09:20.384997
58,870,472,1,2024-12-07 18:09:20.384997
59,847,159,1,2024-12-07 18:09:20.384997
60,600,423,3,2024-12-07 18:09:20.384997
61,491,461,1,2024-12-07 18:09:20.384997
62,698,453,1,2024-12-07 18:09:20.384997
63,418,1,1,2024-12-07 18:09:20.384997
64,42,423,4,2024-12-07 18:09:20.384997
65,855,5,1,2024-12-07 18:09:20.384997
66,914,122,1,2024-12-07 18:09:20.384997
67,958,13,2,2024-12-07 18:09:20.384997
68,797,427,2,2024-12-07 18:09:20.384997
69,129,473,1,2024-12-07 18:09:20.384997
70,351,404,2,2024-12-07 18:09:20.384997
71,590,457,5,2024-12-07 18:09:20.384997
72,612,398,2,2024-12-07 18:09:20.384997
73,732,403,3,2024-12-07 18:09:20.384997
74,780,308,3,2024-12-07 18:09:20.384997
75,686,145,2,2024-12-07 18:09:20.384997
76,650,131,4,2024-12-07 18:09:20.384997
77,327,1,1,2024-12-07 18:09:20.384997
78,828,432,3,2024-12-07 18:09:20.384997
79,993,426,2,2024-12-07 18:09:20.384997
80,5,456,1,2024-12-07 18:09:20.384997
81,208,163,3,2024-12-07 18:09:20.384997
82,76,122,1,2024-12-07 18:09:20.384997
83,884,464,1,2024-12-07 18:09:20.384997
84,131,321,4,2024-12-07 18:09:20.384997
85,786,23,3,2024-12-07 18:09:20.384997
86,348,310,2,2024-12-07 18:09:20.384997
87,138,207,3,2024-12-07 18:09:20.384997
88,320,63,1,2024-12-07 18:09:20.384997
89,204,391,3,2024-12-07 18:09:20.384997
90,191,68,1,2024-12-07 18:09:20.384997
91,74,223,1,2024-12-07 18:09:20.384997
92,816,300,1,2024-12-07 18:09:20.384997
93,882,395,2,2024-12-07 18:09:20.384997
94,841,488,3,2024-12-07 18:09:20.384997
95,533,370,1,2024-12-07 18:09:20.384997
96,747,207,1,2024-12-07 18:09:20.384997
97,419,234,1,2024-12-07 18:09:20.384997
98,46,287,2,2024-12-07 18:09:20.384997
99,414,63,2,2024-12-07 18:09:20.384997
100,142,144,1,2024-12-07 18:09:20.384997
101,790,123,2,2024-12-07 18:09:20.384997
102,628,455,3,2024-12-07 18:09:20.384997
103,109,133,4,2024-12-07 18:09:20.384997
104,30,215,1,2024-12-07 18:09:20.384997
105,489,273,3,2024-12-08 18:09:20.384997
106,995,384,2,2024-12-08 18:09:20.384997
107,930,202,5,2024-12-08 18:09:20.384997
108,989,286,1,2024-12-08 18:09:20.384997
109,439,62,1,2024-12-08 18:09:20.384997
110,754,68,1,2024-12-08 18:09:20.384997
111,8,304,2,2024-12-08 18:09:20.384997
112,481,310,1,2024-12-08 18:09:20.384997
113,319,387,1,2024-12-08 18:09:20.384997
114,26,414,3,2024-12-08 18:09:20.384997
115,211,22,1,2024-12-08 18:09:20.384997
116,858,9,4,2024-12-08 18:09:20.384997
117,330,404,1,2024-12-08 18:09:20.384997
118,597,452,1,2024-12-08 18:09:20.384997
119,78,484,2,2024-12-08 18:09:20.384997
120,27,64,4,2024-12-08 18:09:20.384997
121,152,375,5,2024-12-08 18:09:20.384997
122,639,150,2,2024-12-08 18:09:20.384997
123,171,439,1,2024-12-08 18:09:20.384997
124,143,189,1,2024-12-08 18:09:20.384997
125,324,248,2,2024-12-08 18:09:20.384997
126,239,18,1,2024-12-08 18:09:20.384997
127,423,308,1,2024-12-08 18:09:20.384997
128,329,142,2,2024-12-08 18:09:20.384997
129,88,124,1,2024-12-08 18:09:20.384997
130,344,242,2,2024-12-08 18:09:20.384997
131,428,387,2,2024-12-08 18:09:20.384997
132,602,210,1,2024-12-08 18:09:20.384997
133,518,271,2,2024-12-08 18:09:20.384997
134,1,267,1,2024-12-08 18:09:20.384997
135,258,149,1,2024-12-08 18:09:20.384997
136,446,153,1,2024-12-08 18:09:20.384997
137,197,450,5,2024-12-08 18:09:20.384997
138,649,184,2,2024-12-08 18:09:20.384997
139,206,376,5,2024-12-08 18:09:20.384997
140,76,169,5,2024-12-08 18:09:20.384997
141,684,283,2,2024-12-08 18:09:20.384997
142,934,100,1,2024-12-08 18:09:20.384997
143,791,66,1,2024-12-08 18:09:20.384997
144,184,386,3,2024-12-08 18:09:20.384997
145,332,427,1,2024-12-08 18:09:20.384997
146,35,225,1,2024-12-08 18:09:20.384997
147,945,208,1,2024-12-08 18:09:20.384997
148,620,52,4,2024-12-08 18:09:20.384997
149,1,203,1,2024-12-08 18:09:20.384997
150,208,110,1,2024-12-08 18:09:20.384997
151,898,492,1,2024-12-08 18:09:20.384997
