customer_id,age,gender,location,preferred_category
1,56,Female,Chicago,Home & Garden
2,69,Male,San Diego,Sports & Outdoors
3,46,Male,Philadelphia,Sports & Outdoors
4,32,Male,Phoenix,Fashion
5,60,Male,Houston,Sports & Outdoors
6,25,Male,San Diego,Fashion
7,38,Male,San Diego,Sports & Outdoors
8,56,Male,New York,Sports & Outdoors
9,36,Male,Dallas,Fashion
10,40,Female,Phoenix,Beauty & Health
11,28,Female,Houston,Sports & Outdoors
12,28,Female,Philadelphia,Home & Garden
13,41,Female,Philadelphia,Beauty & Health
14,53,Female,Los Angeles,Fashion
15,57,Male,San Diego,Beauty & Health
16,41,Female,San Antonio,Electronics
17,20,Female,New York,Electronics
18,39,Female,Phoenix,Sports & Outdoors
19,19,Male,Philadelphia,Sports & Outdoors
20,41,Male,Houston,Home & Garden
21,61,Male,Los Angeles,Beauty & Health
22,47,Male,Houston,Electronics
23,55,Female,New York,Sports & Outdoors
24,19,Female,San Antonio,Beauty & Health
25,38,Male,Los Angeles,Sports & Outdoors
26,50,Other,Los Angeles,Sports & Outdoors
27,29,Female,Dallas,Electronics
28,39,Male,Phoenix,Electronics
29,61,Male,Los Angeles,Sports & Outdoors
30,42,Male,Dallas,Fashion
31,66,Male,Dallas,Sports & Outdoors
32,44,Male,New York,Sports & Outdoors
33,59,Male,Chicago,Home & Garden
34,45,Male,Houston,Home & Garden
35,33,Male,San Antonio,Home & Garden
36,32,Female,San Jose,Fashion
37,64,Male,Houston,Fashion
38,68,Female,Los Angeles,Sports & Outdoors
39,61,Male,San Antonio,Home & Garden
40,69,Other,Philadelphia,Fashion
41,20,Male,Chicago,Electronics
42,54,Male,Philadelphia,Sports & Outdoors
43,68,Other,Philadelphia,Beauty & Health
44,24,Female,Phoenix,Sports & Outdoors
45,38,Female,Houston,Beauty & Health
46,26,Male,San Jose,Home & Garden
47,56,Male,New York,Beauty & Health
48,35,Female,San Jose,Home & Garden
49,21,Female,Philadelphia,Electronics
50,42,Female,Los Angeles,Beauty & Health
51,31,Female,Chicago,Sports & Outdoors
52,67,Male,San Diego,Home & Garden
53,26,Female,San Jose,Sports & Outdoors
54,43,Male,Philadelphia,Fashion
55,19,Male,Chicago,Home & Garden
56,37,Male,San Antonio,Beauty & Health
57,45,Female,Houston,Home & Garden
58,64,Male,Dallas,Sports & Outdoors
59,24,Male,Phoenix,Electronics
60,61,Female,Chicago,Home & Garden
61,25,Male,Los Angeles,Beauty & Health
62,64,Female,Los Angeles,Fashion
63,52,Male,Chicago,Electronics
64,31,Female,Los Angeles,Fashion
65,34,Female,Houston,Home & Garden
66,53,Male,Los Angeles,Sports & Outdoors
67,67,Male,San Jose,Sports & Outdoors
68,57,Male,Dallas,Beauty & Health
69,21,Male,Los Angeles,Sports & Outdoors
70,19,Other,Dallas,Electronics
71,23,Male,Philadelphia,Sports & Outdoors
72,59,Female,New York,Beauty & Health
73,21,Male,Houston,Home & Garden
74,46,Female,New York,Home & Garden
75,35,Female,Philadelphia,Sports & Outdoors
76,43,Female,Houston,Fashion
77,61,Male,Chicago,Home & Garden
78,51,Male,Chicago,Sports & Outdoors
79,27,Male,Dallas,Beauty & Health
80,53,Female,Philadelphia,Sports & Outdoors
81,31,Female,Dallas,Home & Garden
82,48,Other,Phoenix,Beauty & Health
83,65,Male,Los Angeles,Sports & Outdoors
84,32,Female,San Diego,Electronics
85,25,Female,Phoenix,Beauty & Health
86,31,Male,Los Angeles,Electronics
87,40,Male,Houston,Fashion
88,57,Female,Dallas,Beauty & Health
89,38,Female,Houston,Electronics
90,33,Female,Houston,Home & Garden
91,62,Male,Los Angeles,Home & Garden
92,35,Female,Philadelphia,Fashion
93,64,Male,Los Angeles,Beauty & Health
94,41,Male,San Antonio,Beauty & Health
