purchase_id,owner_id,material_id,quantity,date
1,2,187,5523,2023-12-07 18:09:39.734305
2,18,131,6793,2023-12-07 18:09:39.734305
3,59,77,533,2023-12-07 18:09:39.734305
4,47,70,7370,2023-12-07 18:09:39.734305
5,82,60,6928,2023-12-07 18:09:39.734305
6,88,137,7596,2023-12-07 18:09:39.734305
7,50,113,4486,2023-12-07 18:09:39.734305
8,43,185,4044,2023-12-07 18:09:39.734305
9,84,23,1271,2023-12-07 18:09:39.734305
10,49,153,7066,2023-12-07 18:09:39.734305
11,15,136,1936,2023-12-08 18:09:39.734305
12,21,92,844,2023-12-08 18:09:39.734305
13,22,198,4478,2023-12-08 18:09:39.734305
14,11,28,6725,2023-12-08 18:09:39.734305
15,24,160,7357,2023-12-08 18:09:39.734305
16,52,90,9605,2023-12-08 18:09:39.734305
17,16,1,1882,2023-12-09 18:09:39.734305
18,45,76,1637,2023-12-09 18:09:39.734305
19,56,126,9073,2023-12-09 18:09:39.734305
20,36,105,7529,2023-12-09 18:09:39.734305
21,85,151,6347,2023-12-10 18:09:39.734305
22,90,1,7341,2023-12-10 18:09:39.734305
23,35,96,971,2023-12-11 18:09:39.734305
24,45,71,8501,2023-12-11 18:09:39.734305
25,29,134,6654,2023-12-11 18:09:39.734305
26,44,148,5034,2023-12-11 18:09:39.734305
27,15,98,1251,2023-12-11 18:09:39.734305
28,63,29,339,2023-12-11 18:09:39.734305
29,72,129,2492,2023-12-12 18:09:39.734305
30,69,64,2432,2023-12-12 18:09:39.734305
31,65,22,6881,2023-12-12 18:09:39.734305
32,17,142,3203,2023-12-12 18:09:39.734305
33,90,5,9261,2023-12-12 18:09:39.734305
34,3,157,8898,2023-12-13 18:09:39.734305
35,4,165,8539,2023-12-13 18:09:39.734305
36,3,185,5063,2023-12-13 18:09:39.734305
37,6,152,1188,2023-12-13 18:09:39.734305
38,32,192,4263,2023-12-13 18:09:39.734305
39,5,139,9005,2023-12-13 18:09:39.734305
40,67,32,571,2023-12-13 18:09:39.734305
41,83,133,6027,2023-12-14 18:09:39.734305
42,16,165,6480,2023-12-14 18:09:39.734305
43,79,173,211,2023-12-14 18:09:39.734305
