owner_id,product_category,production_volume,month
1,Category C,8398,2025-12
1,Category D,8314,2025-12
1,Category C,3122,2025-11
1,Category D,7953,2025-11
1,Category C,10964,2025-10
1,Category D,4049,2025-10
1,Category C,7891,2025-09
1,Category D,8097,2025-09
1,Category C,5451,2025-08
1,Category D,7054,2025-08
1,Category C,10516,2025-07
1,Category D,1691,2025-07
1,Category C,8997,2025-06
1,Category D,2127,2025-06
1,Category C,2759,2025-05
1,Category D,4958,2025-05
1,Category C,6440,2025-04
1,Category D,4658,2025-04
1,Category C,4114,2025-03
1,Category D,4535,2025-03
1,Category C,6341,2025-02
1,Category D,7037,2025-02
1,Category C,8428,2025-01
1,Category D,1948,2025-01
1,Category C,7773,2024-12
1,Category D,2469,2024-12
1,Category C,7799,2024-11
1,Category D,9063,2024-11
1,Category C,4826,2024-10
1,Category D,8037,2024-10
1,Category C,1766,2024-09
1,Category D,2064,2024-09
1,Category C,4576,2024-08
1,Category D,10593,2024-08
1,Category C,10427,2024-07
1,Category D,3173,2024-07
1,Category C,1307,2024-06
1,Category D,5282,2024-06
1,Category C,2958,2024-05
1,Category D,8237,2024-05
1,Category C,1068,2024-04
1,Category D,1695,2024-04
1,Category C,3290,2024-03
1,Category D,4259,2024-03
1,Category C,3616,2024-02
1,Category D,6703,2024-02
1,Category C,4381,2024-01
1,Category D,3567,2024-01
2,Category C,7242,2025-12
2,Category A,9116,2025-12
2,Category C,1959,2025-11
2,Category A,8545,2025-11
2,Category C,9942,2025-10
2,Category A,4937,2025-10
2,Category C,6247,2025-09
2,Category A,10487,2025-09
2,Category C,8236,2025-08
2,Category A,2577,2025-08
2,Category C,3651,2025-07
2,Category A,10428,2025-07
2,Category C,4133,2025-06
2,Category A,2630,2025-06
2,Category C,3565,2025-05
2,Category A,4548,2025-05
2,Category C,3557,2025-04
2,Category A,5400,2025-04
2,Category C,5138,2025-03
2,Category A,2638,2025-03
2,Category C,4863,2025-02
2,Category A,4354,2025-02
2,Category C,1505,2025-01
2,Category A,7947,2025-01
2,Category C,2920,2024-12
2,Category A,6194,2024-12
2,Category C,4589,2024-11
2,Category A,10658,2024-11
2,Category C,1398,2024-10
2,Category A,8835,2024-10
2,Category C,6910,2024-09
2,Category A,7503,2024-09
2,Category C,4362,2024-08
2,Category A,6484,2024-08
2,Category C,5643,2024-07
2,Category A,10758,2024-07
2,Category C,1862,2024-06
2,Category A,9768,2024-06
2,Category C,8477,2024-05
2,Category A,3539,2024-05
2,Category C,3235,2024-04
2,Category A,1788,2024-04
2,Category C,1769,2024-03
2,Category A,4181,2024-03
2,Category C,4774,2024-02
2,Category A,7190,2024-02
2,Category C,4823,2024-01
2,Category A,8245,2024-01
3,Category D,7245,2025-12
3,Category A,2226,2025-12
3,Category C,3406,2025-12
3,Category D,2948,2025-11
3,Category A,7059,2025-11
3,Category C,10630,2025-11
3,Category D,5189,2025-10
3,Category A,7083,2025-10
3,Category C,9199,2025-10
3,Category D,10116,2025-09
3,Category A,2017,2025-09
3,Category C,8646,2025-09
3,Category D,2489,2025-08
3,Category A,10387,2025-08
3,Category C,10652,2025-08
3,Category D,2722,2025-07
3,Category A,5184,2025-07
3,Category C,5712,2025-07
3,Category D,8965,2025-06
3,Category A,4199,2025-06
3,Category C,7142,2025-06
3,Category D,5609,2025-05
3,Category A,1950,2025-05
3,Category C,5187,2025-05
3,Category D,5774,2025-04
3,Category A,7103,2025-04
3,Category C,2389,2025-04
3,Category D,5443,2025-03
3,Category A,3247,2025-03
3,Category C,766,2025-03
3,Category D,6458,2025-02
3,Category A,6019,2025-02
3,Category C,5820,2025-02
3,Category D,8216,2025-01
3,Category A,7627,2025-01
3,Category C,4098,2025-01
3,Category D,3463,2024-12
3,Category A,6320,2024-12
3,Category C,2752,2024-12
3,Category D,10578,2024-11
3,Category A,10206,2024-11
3,Category C,8680,2024-11
3,Category D,11134,2024-10
3,Category A,6033,2024-10
3,Category C,8006,2024-10
3,Category D,3524,2024-09
3,Category A,5917,2024-09
3,Category C,7738,2024-09
3,Category D,11231,2024-08
3,Category A,11106,2024-08
3,Category C,7817,2024-08
3,Category D,3141,2024-07
3,Category A,9878,2024-07
3,Category C,4604,2024-07
3,Category D,1196,2024-06
3,Category A,6725,2024-06
3,Category C,5902,2024-06
3,Category D,7444,2024-05
3,Category A,6627,2024-05
3,Category C,1530,2024-05
3,Category D,4478,2024-04
3,Category A,6056,2024-04
3,Category C,7259,2024-04
3,Category D,2692,2024-03
3,Category A,6283,2024-03
3,Category C,3348,2024-03
3,Category D,1150,2024-02
3,Category A,1694,2024-02
3,Category C,6709,2024-02
3,Category D,4727,2024-01
3,Category A,8105,2024-01
3,Category C,7485,2024-01
4,Category B,1547,2025-12
4,Category A,9363,2025-12
4,Category D,6665,2025-12
4,Category B,7006,2025-11
4,Category A,11304,2025-11
4,Category D,9067,2025-11
4,Category B,4050,2025-10
4,Category A,8363,2025-10
4,Category D,1924,2025-10
4,Category B,8028,2025-09
4,Category A,8970,2025-09
4,Category D,12879,2025-09
4,Category B,5701,2025-08
4,Category A,7041,2025-08
4,Category D,5355,2025-08
4,Category B,2509,2025-07
4,Category A,2098,2025-07
4,Category D,3175,2025-07
4,Category B,4092,2025-06
4,Category A,9011,2025-06
4,Category D,4266,2025-06
4,Category B,2048,2025-05
4,Category A,4454,2025-05
4,Category D,8297,2025-05
4,Category B,1448,2025-04
4,Category A,2420,2025-04
4,Category D,7072,2025-04
4,Category B,6019,2025-03
4,Category A,5963,2025-03
4,Category D,1736,2025-03
4,Category B,3024,2025-02
4,Category A,6946,2025-02
4,Category D,2404,2025-02
4,Category B,1990,2025-01
4,Category A,1584,2025-01
4,Category D,5138,2025-01
4,Category B,7608,2024-12
4,Category A,4416,2024-12
4,Category D,5212,2024-12
4,Category B,5166,2024-11
4,Category A,10425,2024-11
4,Category D,6278,2024-11
4,Category B,12300,2024-10
4,Category A,10402,2024-10
4,Category D,10510,2024-10
4,Category B,1355,2024-09
4,Category A,8745,2024-09
4,Category D,12483,2024-09
4,Category B,6094,2024-08
4,Category A,4848,2024-08
4,Category D,3697,2024-08
4,Category B,9819,2024-07
4,Category A,3822,2024-07
4,Category D,7113,2024-07
4,Category B,2674,2024-06
4,Category A,6702,2024-06
4,Category D,6019,2024-06
4,Category B,1842,2024-05
4,Category A,7108,2024-05
4,Category D,1874,2024-05
4,Category B,1961,2024-04
4,Category A,2223,2024-04
4,Category D,3211,2024-04
4,Category B,5950,2024-03
4,Category A,5676,2024-03
4,Category D,1768,2024-03
4,Category B,4096,2024-02
4,Category A,7138,2024-02
4,Category D,5508,2024-02
4,Category B,7822,2024-01
4,Category A,5371,2024-01
4,Category D,4569,2024-01
5,Category C,3163,2025-12
5,Category C,3866,2025-11
5,Category C,12590,2025-10
5,Category C,12365,2025-09
5,Category C,1431,2025-08
5,Category C,3966,2025-07
5,Category C,3949,2025-06
5,Category C,6286,2025-05
5,Category C,4661,2025-04
5,Category C,6349,2025-03
5,Category C,3918,2025-02
5,Category C,2761,2025-01
5,Category C,2776,2024-12
5,Category C,9417,2024-11
5,Category C,8732,2024-10
5,Category C,10575,2024-09
5,Category C,6220,2024-08
5,Category C,3239,2024-07
5,Category C,7737,2024-06
5,Category C,6471,2024-05
5,Category C,2757,2024-04
5,Category C,2062,2024-03
5,Category C,6568,2024-02
5,Category C,1565,2024-01
6,Category C,5343,2025-12
6,Category A,1203,2025-12
6,Category B,5778,2025-12
6,Category C,10729,2025-11
6,Category A,6142,2025-11
6,Category B,6369,2025-11
6,Category C,2232,2025-10
6,Category A,10469,2025-10
6,Category B,4571,2025-10
6,Category C,4758,2025-09
6,Category A,4551,2025-09
6,Category B,10894,2025-09
6,Category C,4687,2025-08
6,Category A,2228,2025-08
6,Category B,1627,2025-08
6,Category C,2528,2025-07
6,Category A,4182,2025-07
6,Category B,10724,2025-07
6,Category C,5941,2025-06
6,Category A,4205,2025-06
6,Category B,9933,2025-06
6,Category C,6219,2025-05
6,Category A,8138,2025-05
6,Category B,8326,2025-05
6,Category C,3329,2025-04
6,Category A,1775,2025-04
6,Category B,859,2025-04
6,Category C,6821,2025-03
6,Category A,4441,2025-03
6,Category B,5942,2025-03
6,Category C,1731,2025-02
6,Category A,2131,2025-02
6,Category B,1764,2025-02
6,Category C,6284,2025-01
6,Category A,6233,2025-01
6,Category B,4499,2025-01
6,Category C,5195,2024-12
6,Category A,4729,2024-12
6,Category B,9612,2024-12
6,Category C,10447,2024-11
6,Category A,8938,2024-11
6,Category B,2768,2024-11
6,Category C,8865,2024-10
6,Category A,12293,2024-10
6,Category B,2030,2024-10
6,Category C,8866,2024-09
6,Category A,10302,2024-09
6,Category B,3075,2024-09
6,Category C,5143,2024-08
6,Category A,2563,2024-08
6,Category B,2216,2024-08
6,Category C,1931,2024-07
6,Category A,1572,2024-07
6,Category B,6161,2024-07
6,Category C,4077,2024-06
6,Category A,8225,2024-06
6,Category B,8311,2024-06
6,Category C,7009,2024-05
6,Category A,8193,2024-05
6,Category B,8385,2024-05
6,Category C,5066,2024-04
6,Category A,827,2024-04
6,Category B,5922,2024-04
6,Category C,1889,2024-03
6,Category A,2957,2024-03
6,Category B,4799,2024-03
6,Category C,2402,2024-02
6,Category A,6901,2024-02
6,Category B,2837,2024-02
6,Category C,1975,2024-01
6,Category A,3634,2024-01
6,Category B,2124,2024-01
7,Category C,9185,2025-12
7,Category C,9738,2025-11
7,Category C,4308,2025-10
7,Category C,3356,2025-09
7,Category C,1933,2025-08
7,Category C,10007,2025-07
7,Category C,9559,2025-06
7,Category C,1738,2025-05
7,Category C,1849,2025-04
7,Category C,1662,2025-03
7,Category C,4559,2025-02
7,Category C,3893,2025-01
7,Category C,9925,2024-12
7,Category C,3935,2024-11
7,Category C,7958,2024-10
7,Category C,7976,2024-09
7,Category C,9540,2024-08
7,Category C,8315,2024-07
7,Category C,9011,2024-06
7,Category C,1692,2024-05
7,Category C,5635,2024-04
7,Category C,3409,2024-03
7,Category C,1663,2024-02
7,Category C,2001,2024-01
8,Category D,2558,2025-12
8,Category B,8982,2025-12
8,Category D,9025,2025-11
8,Category B,10268,2025-11
8,Category D,2062,2025-10
8,Category B,8506,2025-10
8,Category D,10194,2025-09
8,Category B,2233,2025-09
8,Category D,12334,2025-08
8,Category B,6052,2025-08
8,Category D,10029,2025-07
8,Category B,3213,2025-07
8,Category D,3309,2025-06
8,Category B,6777,2025-06
8,Category D,6029,2025-05
8,Category B,3147,2025-05
8,Category D,2011,2025-04
8,Category B,1846,2025-04
8,Category D,3835,2025-03
8,Category B,2431,2025-03
8,Category D,2652,2025-02
8,Category B,6638,2025-02
8,Category D,6834,2025-01
8,Category B,1739,2025-01
8,Category D,6916,2024-12
8,Category B,1244,2024-12
8,Category D,6602,2024-11
8,Category B,11025,2024-11
8,Category D,5405,2024-10
8,Category B,6590,2024-10
8,Category D,9010,2024-09
8,Category B,6974,2024-09
8,Category D,6484,2024-08
8,Category B,4835,2024-08
8,Category D,3460,2024-07
8,Category B,3228,2024-07
8,Category D,2030,2024-06
8,Category B,9094,2024-06
8,Category D,4324,2024-05
8,Category B,2417,2024-05
8,Category D,4496,2024-04
8,Category B,2083,2024-04
8,Category D,4270,2024-03
8,Category B,4316,2024-03
8,Category D,1160,2024-02
8,Category B,4591,2024-02
8,Category D,3263,2024-01
8,Category B,5540,2024-01
9,Category C,2875,2025-12
9,Category C,3576,2025-11
9,Category C,7780,2025-10
9,Category C,5603,2025-09
9,Category C,6510,2025-08
9,Category C,5894,2025-07
9,Category C,5028,2025-06
9,Category C,6841,2025-05
9,Category C,5222,2025-04
9,Category C,749,2025-03
9,Category C,2244,2025-02
9,Category C,6822,2025-01
9,Category C,1651,2024-12
9,Category C,5387,2024-11
9,Category C,2868,2024-10
9,Category C,10718,2024-09
9,Category C,12431,2024-08
9,Category C,4585,2024-07
9,Category C,7982,2024-06
9,Category C,5562,2024-05
9,Category C,2379,2024-04
9,Category C,4244,2024-03
9,Category C,1960,2024-02
9,Category C,2769,2024-01
10,Category D,3400,2025-12
10,Category C,9257,2025-12
10,Category D,9227,2025-11
10,Category C,2409,2025-11
10,Category D,5466,2025-10
10,Category C,10943,2025-10
10,Category D,10455,2025-09
10,Category C,6071,2025-09
10,Category D,10099,2025-08
10,Category C,9866,2025-08
10,Category D,3403,2025-07
10,Category C,4604,2025-07
10,Category D,3724,2025-06
10,Category C,7518,2025-06
10,Category D,3393,2025-05
10,Category C,7244,2025-05
10,Category D,5537,2025-04
10,Category C,795,2025-04
10,Category D,4153,2025-03
10,Category C,5070,2025-03
10,Category D,788,2025-02
10,Category C,2635,2025-02
10,Category D,3598,2025-01
10,Category C,4472,2025-01
10,Category D,1788,2024-12
10,Category C,7013,2024-12
10,Category D,7047,2024-11
10,Category C,10889,2024-11
10,Category D,8735,2024-10
10,Category C,5511,2024-10
10,Category D,5402,2024-09
10,Category C,5289,2024-09
10,Category D,4864,2024-08
10,Category C,3157,2024-08
10,Category D,5566,2024-07
10,Category C,2962,2024-07
10,Category D,8790,2024-06
10,Category C,8239,2024-06
10,Category D,4439,2024-05
10,Category C,4568,2024-05
10,Category D,1681,2024-04
10,Category C,2867,2024-04
10,Category D,951,2024-03
10,Category C,1111,2024-03
10,Category D,6026,2024-02
10,Category C,7246,2024-02
10,Category D,3205,2024-01
10,Category C,6255,2024-01
11,Category D,2095,2025-12
11,Category D,6249,2025-11
11,Category D,7287,2025-10
11,Category D,6497,2025-09
11,Category D,11297,2025-08
11,Category D,6520,2025-07
11,Category D,1769,2025-06
11,Category D,4600,2025-05
11,Category D,1466,2025-04
11,Category D,3905,2025-03
11,Category D,1073,2025-02
11,Category D,6590,2025-01
11,Category D,3515,2024-12
11,Category D,5981,2024-11
11,Category D,9020,2024-10
11,Category D,9699,2024-09
11,Category D,6756,2024-08
11,Category D,9707,2024-07
11,Category D,8926,2024-06
11,Category D,7395,2024-05
11,Category D,6002,2024-04
11,Category D,5710,2024-03
11,Category D,5286,2024-02
11,Category D,2131,2024-01
12,Category C,8302,2025-12
12,Category A,5752,2025-12
12,Category C,8416,2025-11
12,Category A,7614,2025-11
12,Category C,6490,2025-10
12,Category A,7083,2025-10
12,Category C,7783,2025-09
12,Category A,12669,2025-09
12,Category C,4135,2025-08
12,Category A,5934,2025-08
12,Category C,3569,2025-07
12,Category A,7631,2025-07
12,Category C,6609,2025-06
12,Category A,4711,2025-06
12,Category C,7767,2025-05
12,Category A,1728,2025-05
12,Category C,4831,2025-04
12,Category A,4790,2025-04
12,Category C,891,2025-03
12,Category A,5667,2025-03
12,Category C,3020,2025-02
12,Category A,1765,2025-02
12,Category C,4873,2025-01
12,Category A,6955,2025-01
12,Category C,2625,2024-12
12,Category A,2898,2024-12
12,Category C,10321,2024-11
12,Category A,10114,2024-11
12,Category C,1833,2024-10
12,Category A,8828,2024-10
12,Category C,10058,2024-09
12,Category A,7822,2024-09
12,Category C,9905,2024-08
12,Category A,10010,2024-08
12,Category C,8160,2024-07
12,Category A,8534,2024-07
12,Category C,9391,2024-06
12,Category A,7274,2024-06
12,Category C,7644,2024-05
12,Category A,7368,2024-05
12,Category C,5561,2024-04
12,Category A,2604,2024-04
12,Category C,5495,2024-03
12,Category A,2221,2024-03
12,Category C,6890,2024-02
12,Category A,1346,2024-02
12,Category C,3616,2024-01
12,Category A,5159,2024-01
13,Category A,1291,2025-12
13,Category A,8681,2025-11
13,Category A,7522,2025-10
13,Category A,2321,2025-09
13,Category A,1476,2025-08
13,Category A,9365,2025-07
13,Category A,3176,2025-06
13,Category A,5701,2025-05
13,Category A,4836,2025-04
13,Category A,1701,2025-03
13,Category A,1762,2025-02
13,Category A,6473,2025-01
13,Category A,2652,2024-12
13,Category A,2058,2024-11
13,Category A,10335,2024-10
13,Category A,11367,2024-09
13,Category A,8027,2024-08
13,Category A,8789,2024-07
13,Category A,1992,2024-06
13,Category A,7213,2024-05
13,Category A,6330,2024-04
13,Category A,3985,2024-03
13,Category A,4929,2024-02
13,Category A,6728,2024-01
14,Category D,7666,2025-12
14,Category A,8275,2025-12
14,Category D,4179,2025-11
14,Category A,7443,2025-11
14,Category D,1767,2025-10
14,Category A,8487,2025-10
14,Category D,4540,2025-09
14,Category A,6883,2025-09
14,Category D,3608,2025-08
14,Category A,6732,2025-08
14,Category D,10929,2025-07
14,Category A,4057,2025-07
14,Category D,6658,2025-06
14,Category A,5700,2025-06
14,Category D,3601,2025-05
14,Category A,5389,2025-05
14,Category D,1706,2025-04
14,Category A,6854,2025-04
14,Category D,6677,2025-03
14,Category A,2186,2025-03
14,Category D,5105,2025-02
14,Category A,6937,2025-02
14,Category D,2005,2025-01
14,Category A,4128,2025-01
14,Category D,7249,2024-12
14,Category A,4849,2024-12
14,Category D,2848,2024-11
14,Category A,7393,2024-11
14,Category D,4380,2024-10
14,Category A,2161,2024-10
14,Category D,5185,2024-09
14,Category A,8847,2024-09
14,Category D,11153,2024-08
14,Category A,2360,2024-08
14,Category D,10553,2024-07
14,Category A,8910,2024-07
14,Category D,9778,2024-06
14,Category A,7858,2024-06
14,Category D,4578,2024-05
14,Category A,1971,2024-05
14,Category D,7245,2024-04
14,Category A,4909,2024-04
