material_id,name,category,supplier_id,unit_cost
1,Silk Grade 1,Textiles,3,21.36
2,Nylon Grade 2,Textiles,5,4.71
3,Cotton Grade 3,Textiles,7,7.78
4,Wool Grade 4,Textiles,4,9.65
5,Wool Grade 5,Textiles,17,19.17
6,Silk Grade 6,Textiles,20,2.28
7,Polyester Grade 7,Textiles,10,5.86
8,Silk Grade 8,Textiles,4,17.43
9,Wool Grade 9,Textiles,6,10.95
10,Nylon Grade 10,Textiles,19,17.92
11,Silk Grade 11,Textiles,3,14.73
12,Nylon Grade 12,Textiles,15,11.91
13,Wool Grade 13,Textiles,15,28.97
14,Polyester Grade 14,Textiles,11,28.35
15,Cotton Grade 15,Textiles,4,21.77
16,Nylon Grade 16,Textiles,13,12.3
17,Cotton Grade 17,Textiles,17,2.58
18,Cotton Grade 18,Textiles,16,22.48
19,Polyester Grade 19,Textiles,17,13.22
20,Nylon Grade 20,Textiles,5,14.1
21,Cotton Grade 21,Textiles,14,10.96
22,Nylon Grade 22,Textiles,14,29.58
23,Wool Grade 23,Textiles,17,6.64
24,Nylon Grade 24,Textiles,7,24.28
25,Nylon Grade 25,Textiles,13,27.3
26,Nylon Grade 26,Textiles,19,17.94
27,Cotton Grade 27,Textiles,12,22.89
28,Nylon Grade 28,Textiles,9,9.48
29,Polyester Grade 29,Textiles,13,8.14
30,Nylon Grade 30,Textiles,5,29.46
31,Silk Grade 31,Textiles,20,24.49
32,Silk Grade 32,Textiles,20,13.7
33,Nylon Grade 33,Textiles,13,27.36
34,Cotton Grade 34,Textiles,1,19.51
35,Polyester Grade 35,Textiles,4,2.34
36,Wool Grade 36,Textiles,14,10.07
37,Cotton Grade 37,Textiles,5,23.1
38,Wool Grade 38,Textiles,14,13.76
39,Polyester Grade 39,Textiles,11,25.15
40,Nylon Grade 40,Textiles,14,14.5
41,LED Grade 41,Electronics Components,7,46.35
42,Microchips Grade 42,Electronics Components,5,39.37
43,LED Grade 43,Electronics Components,3,4.95
44,LED Grade 44,Electronics Components,7,42.64
45,LED Grade 45,Electronics Components,8,21.52
46,Batteries Grade 46,Electronics Components,16,41.09
47,LED Grade 47,Electronics Components,2,27.39
48,Batteries Grade 48,Electronics Components,18,17.16
49,Microchips Grade 49,Electronics Components,2,41.71
50,Resistors Grade 50,Electronics Components,8,15.92
51,Capacitors Grade 51,Electronics Components,13,45.48
52,Batteries Grade 52,Electronics Components,9,45.98
53,LED Grade 53,Electronics Components,8,8.66
54,Resistors Grade 54,Electronics Components,20,12.28
55,LED Grade 55,Electronics Components,1,29.73
56,LED Grade 56,Electronics Components,7,29.86
57,Resistors Grade 57,Electronics Components,12,27.8
58,Microchips Grade 58,Electronics Components,14,38.96
59,LED Grade 59,Electronics Components,11,7.77
60,Batteries Grade 60,Electronics Components,8,7.4
61,Microchips Grade 61,Electronics Components,7,8.88
62,Batteries Grade 62,Electronics Components,19,44.72
63,Capacitors Grade 63,Electronics Components,15,9.72
64,Batteries Grade 64,Electronics Components,8,17.41
65,Resistors Grade 65,Electronics Components,20,23.38
66,Resistors Grade 66,Electronics Components,2,24.27
67,Batteries Grade 67,Electronics Components,9,23.32
68,Resistors Grade 68,Electronics Components,10,2.68
69,LED Grade 69,Electronics Components,17,8.62
70,LED Grade 70,Electronics Components,18,2.27
71,Resistors Grade 71,Electronics Components,8,37.81
72,LED Grade 72,Electronics Components,19,11.58
73,Resistors Grade 73,Electronics Components,7,1.25
74,LED Grade 74,Electronics Components,8,35.58
75,Batteries Grade 75,Electronics Components,11,13.35
76,LED Grade 76,Electronics Components,5,37.82
77,Resistors Grade 77,Electronics Components,3,17.63
78,Microchips Grade 78,Electronics Components,15,38.82
79,Batteries Grade 79,Electronics Components,18,26.4
80,Batteries Grade 80,Electronics Components,17,40.47
81,Solvents Grade 81,Chemicals,6,43.7
82,Preservatives Grade 82,Chemicals,6,75.59
83,Solvents Grade 83,Chemicals,9,74.61
84,Fragrances Grade 84,Chemicals,15,93.5
85,Emulsifiers Grade 85,Chemicals,12,13.54
86,Emulsifiers Grade 86,Chemicals,12,82.44
87,Colorants Grade 87,Chemicals,2,40.22
88,Solvents Grade 88,Chemicals,6,57.05
89,Colorants Grade 89,Chemicals,9,54.83
90,Emulsifiers Grade 90,Chemicals,5,10.99
91,Fragrances Grade 91,Chemicals,15,85.81
92,Solvents Grade 92,Chemicals,5,84.51
93,Colorants Grade 93,Chemicals,5,26.12
94,Colorants Grade 94,Chemicals,11,78.09
95,Solvents Grade 95,Chemicals,5,94.17
96,Colorants Grade 96,Chemicals,12,36.4
97,Preservatives Grade 97,Chemicals,18,43.42
98,Colorants Grade 98,Chemicals,2,28.26
99,Emulsifiers Grade 99,Chemicals,3,5.13
100,Fragrances Grade 100,Chemicals,7,95.44
101,Emulsifiers Grade 101,Chemicals,2,96.33
102,Solvents Grade 102,Chemicals,6,70.18
103,Emulsifiers Grade 103,Chemicals,15,6.04
104,Colorants Grade 104,Chemicals,3,75.46
105,Emulsifiers Grade 105,Chemicals,2,36.33
106,Fragrances Grade 106,Chemicals,5,73.33
107,Colorants Grade 107,Chemicals,17,72.11
108,Fragrances Grade 108,Chemicals,11,90.76
109,Fragrances Grade 109,Chemicals,9,95.74
110,Colorants Grade 110,Chemicals,10,40.51
111,Colorants Grade 111,Chemicals,14,84.86
112,Fragrances Grade 112,Chemicals,12,42.09
113,Emulsifiers Grade 113,Chemicals,5,57.98
114,Colorants Grade 114,Chemicals,20,89.95
115,Fragrances Grade 115,Chemicals,5,62.33
116,Colorants Grade 116,Chemicals,11,43.47
117,Preservatives Grade 117,Chemicals,10,90.12
118,Fragrances Grade 118,Chemicals,14,73.96
119,Emulsifiers Grade 119,Chemicals,3,8.0
120,Preservatives Grade 120,Chemicals,20,52.37
121,Plastic Film Grade 121,Packaging,5,0.74
122,Plastic Film Grade 122,Packaging,9,4.4
123,Glass Bottles Grade 123,Packaging,10,7.29
124,Glass Bottles Grade 124,Packaging,10,2.21
125,Metal Cans Grade 125,Packaging,6,4.24
126,Glass Bottles Grade 126,Packaging,12,9.92
127,Cardboard Grade 127,Packaging,4,1.83
128,Glass Bottles Grade 128,Packaging,3,3.7
129,Glass Bottles Grade 129,Packaging,3,5.72
130,Plastic Film Grade 130,Packaging,12,7.03
131,Glass Bottles Grade 131,Packaging,3,6.79
132,Cardboard Grade 132,Packaging,6,2.8
133,Cardboard Grade 133,Packaging,13,3.22
134,Labels Grade 134,Packaging,18,2.25
